<<<<<<< HEAD
feature,importance
CRIM,13.495755936726459
ZN,9.687674276785554
INDUS,12.550770547272473
CHAS,8.372584503165424
NOX,10.196495983150289
RM,13.382399723634855
AGE,12.871466614055059
DIS,10.804798328985353
RAD,12.287130009413513
TAX,13.229588690894381
PTRATIO,10.346561938831456
B,12.640310520340591
LSTAT,11.02665865538375
=======
feature,importance
CRIM,13.495755936726459
ZN,9.687674276785554
INDUS,12.550770547272473
CHAS,8.372584503165424
NOX,10.196495983150289
RM,13.382399723634855
AGE,12.871466614055059
DIS,10.804798328985353
RAD,12.287130009413513
TAX,13.229588690894381
PTRATIO,10.346561938831456
B,12.640310520340591
LSTAT,11.02665865538375
>>>>>>> fbfedc385406b6556c748886c8ab26c2e95c54a6
