<<<<<<< HEAD
optimizer,MAE,MSE,RMSE,R2
SGD,3.0154490334213535,29.981458632126614,5.475532725874864,0.6445438138910748
Momentum,2.5584981808738094,22.12087092428576,4.703282994280246,0.7377378963234018
Adam,2.3688758990680983,19.014599118688967,4.360573255741608,0.7745654417268125
=======
optimizer,MAE,MSE,RMSE,R2
SGD,3.0154490334213535,29.981458632126614,5.475532725874864,0.6445438138910748
Momentum,2.5584981808738094,22.12087092428576,4.703282994280246,0.7377378963234018
Adam,2.3688758990680983,19.014599118688967,4.360573255741608,0.7745654417268125
>>>>>>> fbfedc385406b6556c748886c8ab26c2e95c54a6
